Record_ID,Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score
0,23,84,No,7,0,3,67
1,19,64,No,8,2,4,61
2,24,98,Yes,7,2,4,74
3,29,89,Yes,8,1,4,71
4,19,92,Yes,6,3,4,70
5,19,88,Yes,8,3,3,71
6,29,84,Yes,7,1,2,67
7,25,78,Yes,6,1,2,66
8,17,94,No,6,0,1,69
9,23,98,Yes,8,0,5,72
10,17,80,No,8,4,4,68
11,17,97,Yes,6,2,2,71
12,21,83,Yes,8,2,4,70
13,9,82,Yes,8,2,3,66
14,10,78,Yes,8,1,4,65
15,17,68,No,8,2,4,64
16,14,60,Yes,10,0,3,60
17,22,70,Yes,6,1,3,65
18,15,80,Yes,9,3,2,67
19,12,75,Yes,7,3,4,66
20,29,78,No,5,0,1,69
21,19,99,No,6,1,3,72
22,20,74,No,8,1,2,66
23,11,78,Yes,8,1,3,66
24,17,65,Yes,5,2,3,63
25,21,62,Yes,6,0,3,64
26,13,91,No,6,1,2,65
27,22,83,Yes,6,0,2,71
28,16,90,No,4,1,3,66
29,18,66,No,4,2,2,64
30,16,83,No,6,0,4,63
31,31,70,Yes,7,1,3,69
32,20,69,Yes,8,2,3,67
33,14,60,No,5,2,3,61
34,25,65,No,5,2,3,68
35,13,72,No,6,1,3,61
36,21,65,Yes,7,2,3,64
37,8,99,No,9,2,5,67
38,12,72,Yes,8,1,5,63
39,21,65,Yes,6,1,4,64
40,24,68,No,8,3,1,67
41,21,84,Yes,6,1,2,65
42,19,63,No,7,1,3,64
43,18,94,Yes,7,3,2,70
44,11,98,Yes,9,1,3,68
45,16,70,Yes,8,2,3,65
46,17,78,Yes,6,1,3,68
47,26,61,Yes,6,2,3,64
48,22,86,Yes,7,3,2,68
49,9,77,No,5,2,3,63
50,22,71,Yes,7,1,4,64
51,18,68,No,7,0,3,64
52,16,86,Yes,8,2,4,67
53,24,77,No,8,0,3,67
54,26,67,Yes,7,2,4,66
55,26,88,Yes,5,1,4,72
56,15,83,No,5,1,2,65
57,18,94,Yes,6,1,4,71
58,22,65,No,8,2,1,66
59,26,91,Yes,8,0,3,68
60,17,87,No,7,1,5,70
61,19,65,Yes,10,0,3,62
62,13,88,Yes,9,2,4,68
63,13,78,Yes,9,2,3,67
64,25,98,Yes,8,0,3,71
65,28,66,Yes,8,0,2,68
66,20,86,Yes,8,1,3,69
67,26,75,Yes,4,3,2,70
68,22,98,No,5,1,4,69
69,16,73,No,7,1,4,65
70,22,98,Yes,7,3,3,70
71,29,96,Yes,7,1,3,71
72,20,71,Yes,7,1,4,65
73,29,92,No,4,2,1,72
74,4,100,Yes,8,0,4,69
75,25,70,No,7,1,3,66
76,21,77,Yes,7,4,3,68
77,18,81,Yes,8,0,3,65
78,21,72,Yes,5,1,5,64
79,8,61,Yes,7,1,3,60
80,19,69,Yes,7,1,2,65
81,22,71,No,6,1,3,66
82,29,78,Yes,4,5,3,74
83,17,67,Yes,5,2,3,62
84,15,95,No,7,2,4,70
